1,1,"¿Quién es el dios del trueno en la mitología griega?",1,griega,1,Zeus,Thor,Ra,Ares
2,1,"¿Cómo se llama el río sagrado en Egipto?",1,egipcia,1,Nilo,Tigris,Éufrates,Amazonas
3,1,"¿Qué patriarca hebreo fue padre de Isaac?",1,hebrea,1,Abraham,Moisés,Jacob,David
4,1,"¿Quién es el dios del inframundo en la mitología griega?",1,griega,1,Hades,Zeus,Ares,Dionisio
5,1,"¿Qué diosa egipcia representaba la maternidad y la magia?",1,egipcia,1,Isis,Nefertiti,Hathor,Bastet
6,1,"¿Cuál era el nombre del dios sol en la mitología egipcia?",1,egipcia,1,Ra,Osiris,Anubis,Horus
7,1,"¿Cuál es el nombre del mensajero de los dioses en la mitología griega?",1,griega,1,Hermes,Ares,Hefesto,Apolo
8,1,"¿Qué objeto contenía las plagas en la historia de Moisés?",1,hebrea,1,Vara de Aarón,Arca de la Alianza,Manto de Elías,Urim y Tumim
9,1,"¿Qué animal era considerado sagrado para la diosa Bastet?",1,egipcia,1,Gato,Cocodrilo,Escarabajo,Toro
10,1,"¿Qué ser mitológico tenía serpientes en lugar de cabello?",1,griega,1,Medusa,Esfinge,Lamia,Hidra
11,2,"¿Cuál es el primer libro de la Biblia hebrea?",2,hebrea,1,Génesis,Éxodo,Levítico,Números
12,2,"¿Cómo se llama el héroe griego que mató a Medusa?",2,griega,1,Perseo,Aquiles,Hércules,Ulises
13,2,"¿Qué faraón ordenó la construcción de la Gran Pirámide de Giza?",2,egipcia,1,Keops,Tutankamón,Ramsés II,Cleopatra
14,2,"¿En qué idioma original está escrito gran parte del Antiguo Testamento?",2,hebrea,1,Hebreo,Latín,Griego,Arameo
15,2,"¿Qué hijo de Jacob fue vendido por sus hermanos?",2,hebrea,1,José,Isaac,Efraín,Leví
16,2,"¿Qué monstruo mitológico tenía cuerpo de león, cabeza humana y alas?",2,griega,1,Esfinge,Quimera,Minotauro,Cerbero
17,2,"¿Quién fue el hermano de Moisés que sirvió como su portavoz?",2,hebrea,1,Aarón,Josué,Ezequiel,Elías
18,2,"¿Qué diosa egipcia tenía forma de vaca y representaba el amor y la alegría?",2,egipcia,1,Hathor,Isis,Nut,Neit
19,2,"¿Quién construyó el Arca según la Biblia hebrea?",2,hebrea,1,Noé,Abraham,Moisés,David
20,2,"¿Qué criatura mitológica vigilaba el Laberinto?",2,griega,1,Minotauro,Cerbero,Quimera,Hidra
21,2,"¿Qué dios egipcio juzgaba a los muertos en la sala de Maat?",2,egipcia,1,Osiris,Ra,Anubis,Horus
22,3,"¿Cómo se llama la diosa de la sabiduría en la mitología griega?",3,griega,1,Atenea,Isis,Minerva,Hera
23,3,"¿Qué animal sagrado veneraban los antiguos egipcios en Abidos?",3,egipcia,1,Toro,Águila,León,Serpiente
24,3,"¿Qué rey hebreo escribió muchos de los Salmos?",3,hebrea,1,David,Salomón,Saúl,Ezequías
25,3,"¿Qué estructura conectaba el mundo mortal con el de los dioses en la mitología griega?",3,griega,1,Monte Olimpo,Río Estigia,Tártaro,Templo de Delfos
26,3,"¿Qué dios egipcio tenía cabeza de chacal y estaba asociado con la muerte?",3,egipcia,1,Anubis,Horus,Ra,Osiris
27,3,"¿Qué templo griego era considerado el hogar de la profecía de Apolo?",3,griega,1,Delfos,Atenas,Esparta,Corinto
28,3,"¿Qué figura hebrea recibió los Diez Mandamientos en el monte Sinaí?",3,hebrea,1,Moisés,Abraham,Isaías,Josué
29,3,"¿Cuál era el ave sagrada del renacimiento en la mitología egipcia?",3,egipcia,1,Fénix,Horus,Ibis,Garza
30,3,"¿Qué héroe griego fue conocido por su talón vulnerable?",3,griega,1,Aquiles,Hércules,Teseo,Orfeo
31,3,"¿Qué figura hebrea derrotó a Goliat?",3,hebrea,1,David,Saúl,Salomón,Jonatán
32,3,"¿Qué símbolo egipcio representa la vida eterna?",3,egipcia,1,Anj,Ojo de Horus,Escarabajo,Cruz Celta
33,3,"¿Qué esposa de Abraham fue madre en la vejez?",3,hebrea,1,Sara,Rebeca,Rachel,Lea
